,question_id,faq_vs_ideal_bleu,faq_vs_ideal_rouge1,faq_vs_ideal_rouge2,faq_vs_ideal_rougeL,faq_vs_ideal_bert_precision,faq_vs_ideal_bert_recall,faq_vs_ideal_bert_f1,faq_vs_ideal_ngram_1,faq_vs_ideal_ngram_2,faq_vs_ideal_ngram_3,faq_vs_ideal_ngram_4,faq_vs_original_bleu,faq_vs_original_rouge1,faq_vs_original_rouge2,faq_vs_original_rougeL,faq_vs_original_bert_precision,faq_vs_original_bert_recall,faq_vs_original_bert_f1,faq_vs_original_ngram_1,faq_vs_original_ngram_2,faq_vs_original_ngram_3,faq_vs_original_ngram_4,ideal_vs_original_bleu,ideal_vs_original_rouge1,ideal_vs_original_rouge2,ideal_vs_original_rougeL,ideal_vs_original_bert_precision,ideal_vs_original_bert_recall,ideal_vs_original_bert_f1,ideal_vs_original_ngram_1,ideal_vs_original_ngram_2,ideal_vs_original_ngram_3,ideal_vs_original_ngram_4
mean,8205.5,0.029562171753243594,0.26855292050830665,0.06434748910954277,0.1456945233949682,0.8030429089721871,0.8258465852742368,0.8138849174563628,0.2463039166654774,0.05875315679393866,0.019534456987970253,0.008200218873161176,0.15294447461862856,0.46850859578645054,0.19390717490845386,0.2770134104256288,0.844228154707417,0.8442344032035043,0.8441527406088897,0.469083648382001,0.19877300724400226,0.11106587727050284,0.071033374982463,0.0236499447384842,0.2715390345588901,0.06605159877461174,0.14716316923218278,0.8266746708656089,0.803714132439017,0.8146275970300358,0.4150988535577715,0.10976918707023647,0.04175003342869834,0.019262911565235213
std,4737.880644338775,0.022855357882593776,0.1021900203256972,0.03800365301318189,0.045861879763496954,0.02296881494697776,0.028867195892065028,0.01870820764812691,0.14847746389895491,0.0487322734632865,0.020812376755608503,0.011959461451773614,0.06681142555164167,0.09209718711494212,0.07403294694953842,0.0672218916988949,0.025090995652793126,0.02495067165397729,0.02372304588000921,0.090980485346594,0.07396996361259571,0.05828248220192054,0.047261988905841226,0.02365526096915828,0.10329624898656353,0.03893371233134423,0.04646711197385616,0.029078809759227744,0.02316709170175789,0.018891085502431848,0.13406576320147343,0.0821113496363774,0.0563462123994895,0.04185449567647444
min,0.0,0.0,0.0,0.0,0.0,0.6808403730392456,0.689937949180603,0.715855062007904,0.0,0.0,0.0,0.0,0.00013322029021438863,0.050808314087759814,0.0,0.04618937644341801,0.7137244343757629,0.6940835118293762,0.7368934750556946,0.05188679245283019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699160099029541,0.6691077947616577,0.692920982837677,0.0,0.0,0.0,0.0
max,16411.0,0.1972777320459764,0.578096947935368,0.265,0.35323383084577115,0.9118654727935791,0.9436085820198059,0.8844478726387024,0.9230769230769231,0.5308219178082192,0.36363636363636365,0.28125,0.7172869525742882,0.8400000000000001,0.7671232876712328,0.8400000000000001,0.9756543636322021,0.9643712043762207,0.9693188667297363,0.8620689655172413,0.7894736842105263,0.7297297297297297,0.6666666666666666,0.22900006997599492,0.5833333333333334,0.30701754385964913,0.45833333333333326,0.9519745111465454,0.9218561053276062,0.8961221575737,1.0,0.8679245283018868,0.8076923076923077,0.76
median,8205.5,0.023353642937315608,0.2828282828282828,0.05856798220814957,0.1496062992125984,0.8041643798351288,0.8270690739154816,0.815473884344101,0.23344947735191637,0.047619047619047616,0.013937282229965157,0.003745318352059925,0.1470437437480705,0.4758842443729903,0.18888888888888886,0.27225130890052357,0.8455489873886108,0.8458502292633057,0.8450321555137634,0.47586206896551725,0.19387755102040816,0.10299003322259136,0.06293706293706294,0.01747141596277152,0.2852173913043478,0.059900166389351084,0.15101289134438306,0.8277256488800049,0.8054102063179016,0.8162121772766113,0.4222222222222222,0.09375,0.025974025974025976,0.006711409395973154
q25,4102.75,0.012429634738477224,0.19230769230769232,0.03579704423350898,0.11578947368421051,0.7886864244937897,0.8067108690738678,0.8014194816350937,0.125,0.025735294117647058,0.005681818181818182,0.0,0.1067106762580208,0.41509433962264153,0.14315789473684215,0.23333333333333334,0.8293968737125397,0.8291983604431152,0.8297713100910187,0.4166666666666667,0.14840989399293286,0.07042253521126761,0.0379746835443038,0.004064269523914482,0.1939799331103679,0.03690036900369003,0.1165644171779141,0.8076200187206268,0.7893337607383728,0.8023266792297363,0.3266397849462366,0.05327372682888104,0.0102880658436214,0.0
q75,12308.25,0.041166726856911896,0.34567901234567905,0.08716707021791768,0.1772727272727273,0.8191236704587936,0.844272255897522,0.827096551656723,0.33209987883460923,0.07723577235772358,0.027210884353741496,0.011494252873563218,0.1921994992423548,0.5316220413157028,0.23941068139963168,0.31496062992125984,0.8608819842338562,0.8605758845806122,0.8596372902393341,0.5309362302293563,0.24381625441696114,0.14236699623352167,0.09375,0.03597649791715196,0.3489889705882353,0.08936498049372193,0.1790393013100437,0.8454469442367554,0.8199771046638489,0.8281553089618683,0.5,0.14285714285714285,0.05263157894736842,0.02148230190594859
